{6.37188794862555*^6, -1.0064491942298915*^6, 2.1222673184904945*^6},
{5.352997260200345*^6, -1.3890391502863695*^6, 3.9270852998966663*^6},
{5.257143148979875*^6, -1.025238685734046*^6, 4.1592773632331626*^6},
{5.140380670237051*^6, -655710.3729699703, 4.372386782414963*^6},
{5.0032679021203*^6, -281967.9851153921, 4.565412121537733*^6},
{4.846445780705868*^6, 94445.43343366293, 4.737443300234476*^6},
{4.670635507913056*^6, 471964.3569719074, 4.8876666632481925*^6},
{4.476635500107047*^6, 849007.6282485414, 5.015369610813786*^6},
{4.265317897439872*^6, 1.2239857409213134*^6, 5.119944733231723*^6},
{4.037624479105341*^6, 1.595308461659192*^6, 5.200893442531819*^6},
{3.7945629437903366*^6, 1.961391372280049*^6, 5.257828759014396*^6},
{3.537201238100301*^6, 2.3206650108461212*^6, 5.2904779856986*^6},
{3.266663050665087*^6, 2.6715814804749903*^6, 5.298684150074443*^6},
{2.9841222232177006*^6, 3.0126222698032297*^6, 5.282407043396494*^6},
{2.69079702055757*^6, 3.3423056938080937*^6, 5.241723484998337*^6},
{2.387944197563887*^6, 3.659194112510781*^6, 5.176826869716359*^6},
{2.0768528272584677*^6, 3.961900941999444*^6, 5.088026004946385*^6},
{1.75883806496833*^6, 4.249097293987461*^6, 4.975743254309859*^6},
{1.4352348194523312*^6, 4.51951827272564*^6, 4.840512014758271*^6},
{1.1073914139599209*^6, 4.77196885453056*^6, 4.682973562855168*^6},
{776663.3400861913, 5.005329306974764*^6, 4.503873313651818*^6},
{444406.78750280815, 5.218560292452721*^6, 4.304056401051844*^6},
{111973.60023223748, 5.410706751979319*^6, 4.084463465306967*^6},
{-219295.9994059904, 5.58090273405567*^6, 3.8461246591123906*^6},
{-548078.0830390542, 5.728374253781447*^6, 3.590154612949083*^6},
{-873070.5665865719, 5.852442408280218*^6, 3.3177464397436716*^6},
{-1.192998350981688*^6, 5.952525851531105*^6, 3.030165611357656*^6},
{-1.5066180643898353*^6, 6.028142814310266*^6, 2.728743631761619*^6},
{-1.8127225670220766*^6, 6.0789126797260055*^6, 2.4148715542859263*^6},
{-2.110145085921576*^6, 6.104557162728332*^6, 2.0899933848769339*^6},
{-2.3977631638437402*^6, 6.104901071807513*^6, 1.7555994072577336*^6},
{-2.674502204967046*^6, 6.0798727409194745*^6, 1.4132194595979357*^6},
{-2.9393389787074965*^6, 6.029504065638842*^6, 1.0644159503395497*^6},
{-3.1913039411546383*^6, 5.953930437752696*^6, 710778.0419967558},
{-3.4294851439570757*^6, 5.853389998031156*^6, 353913.4941612564},
{-3.6530300631937818*^6, 5.7282229565525325*^6, -4557.144476598684},
{-3.861148159223436*^6, 5.578870472664597*^6, -363007.4932054957},
{-4.053112998091907*^6, 5.405873326688325*^6, -719812.0479819475},
{-4.228264312072587*^6, 5.2098702312816465*^6, -1.073352873833152*^6},
{-4.38600968093534*^6, 4.991596009299827*^6, -1.4220262812985743*^6},
{-4.525826293531855*^6, 4.751879289530205*^6, -1.764249486154526*^6},
{-4.647262331960054*^6, 4.491640055386997*^6, -2.098467249426035*^6},
{-4.749938285588464*^6, 4.211886792078358*^6, -2.4231584913992244*^6},
{-4.833548122059061*^6, 3.9137130935662626*^6, -2.736843075477718*^6},
{-4.897859989332879*^6, 3.598294949437441*^6, -3.0380874997000135*^6},
{-4.942717308366223*^6, 3.266885585205666*^6, -3.3255126131660044*^6},
{-4.968039036477491*^6, 2.920811935343108*^6, -3.5977991198651805*^6},
{-4.97381998873803*^6, 2.561469744384569*^6, -3.8536940152005623*^6},
{-4.960130893224261*^6, 2.1903183565112776*^6, -4.0920166393435234*^6},
{-4.927118110903236*^6, 1.8088751783409747*^6, -4.311664519164856*^6},
{-4.875003088302935*^6, 1.4187096818738296*^6, -4.51161895222191*^6},
{-4.804081490271392*^6, 1.0214370076459748*^6, -4.690950283237022*^6},
{-4.714721990838782*^6, 618711.2340850667, -4.848822821684944*^6},
{-4.607364741889926*^6, 212218.20812692936, -4.984499348668938*^6},
{-4.48251937631241*^6, -196332.12330479902, -5.097345230200513*^6},
{-4.340763104896063*^6, -605212.2960369823, -5.186831665520452*^6},
{-4.182737603852239*^6, -1.0126869208345424*^6, -5.252539123527237*^6},
{-4.009146400876625*^6, -1.4170195598499193*^6, -5.294159413766545*^6},
{-3.820751498395889*^6, -1.8164812443591335*^6, -5.311497534959912*^6},
{-3.6183697930200184*^6, -2.209358577083862*^6, -5.304472791843545*^6},
{-3.402869193100677*^6, -2.593961875290202*^6, -5.2731192483672695*^6},
{-3.1751645086271907*^6, -2.968633151544735*^6, -5.2175855111091165*^6},
{-2.936213077417028*^6, -3.3317539791561677*^6, -5.138133846168612*^6},
{-2.6870102557630297*^6, -3.6817530485175126*^6, -5.035138642097403*^6},
{-2.428584749240904*^6, -4.017113455598775*^6, -4.909084240289974*^6},
{-2.161993843240666*^6, -4.336379635064591*^6, -4.760562162390107*^6},
{-1.8883184376625207*^6, -4.638164070456777*^6, -4.590267650086537*^6},
{-1.608658897476079*^6, -4.921152627250453*^6, -4.3989962740449095*^6},
{-1.3241291927900375*^6, -5.184111382074978*^6, -4.1876389088654215*^6},
{-1.0358529102609032*^6, -5.425890960137837*^6, -3.957177410414144*^6},
{-744958.3798359077, -5.6454314275937015*^6, -3.708679368853003*^6},
{-452574.19875898334, -5.841766457262094*^6, -3.4432926458284133*^6},
{-159824.85792406253, -6.014027021789146*^6, -3.162239639221289*^6},
{132173.4781665133, -6.161444607453292*^6, -2.86681132316752*^6},
{422316.89692903956, -6.283353969819776*^6, -2.558361107293336*^6},
{709517.7148759522, -6.379195447958939*^6, -2.238298554469592*^6},
{992707.978015958, -6.448516865999017*^6, -1.9080829911205217*^6},
{1.2708431834965118*^6, -6.490975052018565*^6, -1.5692168087012952*^6},
{1.5429047876565126*^6, -6.506336872425882*^6, -1.2232398534775714*^6},
{1.8079043491056745*^6, -6.494480201820431*^6, -871721.4972067657},
{2.0648857981540526*^6, -6.455394223248113*^6, -516254.94968152157},
{2.31292834729147*^6, -6.389179610411104*^6, -158450.42253718758},
{2.551149153101551*^6, -6.296048346552152*^6, 200071.49866481125},
{2.7787057828787533*^6, -6.176323265516308*^6, 557686.497551868},
{2.994798687302438*^6, -6.030437242385977*^6, 912773.1858136966},
{3.198673453053777*^6, -5.858932117821264*^6, 1.2637197787859591*^6},
{3.389623021289753*^6, -5.662457277331661*^6, 1.6089307878637174*^6},
{3.5669898155892575*^6, -5.441767888718976*^6, 1.9468337278301346*^6},
{3.730167831862402*^6, -5.197722644224496*^6, 2.2758860513495156*^6},
{3.878604229891467*^6, -4.931281881169856*^6, 2.5945809898499106*^6},
{4.011801785437809*^6, -4.643503719755138*^6, 2.9014555827730764*^6},
{4.1293201380816605*^6, -4.335541403569991*^6, 3.1950964577727728*^6},
{4.230777633787892*^6, -4.0086392517979974*^6, 3.4741466642016512*^6},
{4.315852701541237*^6, -3.6641284717955873*^6, 3.737312189982524*^6},
{4.384285239856849*^6, -3.3034223245982467*^6, 3.9833683468082114*^6},
{4.435877725217797*^6, -2.9280108757524895*^6, 4.211165979020877*^6},
{4.470496155268194*^6, -2.53945519631451*^6, 4.419637446423306*^6},
{4.4880707582440125*^6, -2.1393810564008392*^6, 4.6078023271644665*^6},
{4.488596427974853*^6, -1.7294721672498833*^6, 4.7747727839766685*^6},
{4.472132907522134*^6, -1.3114625910140465*^6, 4.919758625320509*^6},
{4.438804711364654*^6, -887130.1811285599, 5.042071449959758*^6},
{4.388800614248132*^6, -458286.85496045597, 5.141129241004165*^6},
{4.322372940525882*^6, -26771.217357852438, 5.2164594106541*^6},
{4.239836453698818*^6, 405560.3875639464, 5.267701745751166*^6},
{4.1415669280922725*^6, 836842.8008372197, 5.294610600485047*^6},
{4.027999383295209*^6, 1.2652111057780592*^6, 5.297056409117626*^6},
{3.899626006649275*^6, 1.6888097022737716*^6, 5.275026496295631*^6},
{3.75699373999645*^6, 2.1058014444349483*^6, 5.228625172696367*^6},
{3.6007016361821517*^6, 2.514376524174935*^6, 5.1580731143586105*^6},
{3.4313978739238055*^6, 2.9127613489216897*^6, 5.063706034716168*^6},
{3.2497766127672927*^6, 3.29922700733465*^6, 4.945972668695805*^6},
{3.0565744808787694*^6, 3.672097725489005*^6, 4.80543199615719*^6},
{2.852567586507376*^6, 4.0297576646546545*^6, 4.642750338201992*^6},
{2.638567064038549*^6, 4.370659801675064*^6, 4.458696918765237*^6},
{2.4154158510600543*^6, 4.693331781260905*^6, 4.254139829075995*^6},
{2.1839848045844287*^6, 4.996382508770445*^6, 4.0300410729599423*^6},
{1.9451688469798148*^6, 5.278507990485229*^6, 3.7874512859110916*^6},
{1.6998832138967058*^6, 5.538496573273846*^6, 3.527504099442692*^6},
{1.4490597073209712*^6, 5.775233653042832*^6, 3.251410207945245*^6},
{1.1936430172722752*^6, 5.987705830993017*^6, 2.9604511928228587*^6},
{934587.1901163078, 6.175004522391836*^6, 2.655973154914176*^6},
{672852.0938230617, 6.336329072793878*^6, 2.339380201371001*^6},
{409399.92583442427, 6.470989437865766*^6, 2.01212760486339*^6},
{145192.70933426564, 6.578407982654723*^6, 1.6757159999976256*^6},
{-118811.93767308073, 6.658121729865917*^6, 1.3316833340456*^6},
{-381662.9519315747, 6.7097832693480505*^6, 981598.9870459579},
{-642419.0221101944, 6.7331617624354465*^6, 627056.7996123963},
{-900151.2497404987, 6.728143479944262*^6, 269668.3230989447},
{-1.1539458367094155*^6, 6.694731994857828*^6, -88943.91748894932},
{-1.4029066765917782*^6, 6.633048037663933*^6, -447153.1448179386},
{-1.6461578125195096*^6, 6.543329037460951*^6, -803335.0340422093},
{-1.8828459600778783*^6, 6.425928313509733*^6, -1.1558744014424246*^6},
{-2.1121428577962224*^6, 6.28131396087434*^6, -1.5031718770676986*^6},
{-2.333247793097422*^6, 6.110067260144378*^6, -1.8436507858723572*^6},
{-2.5453893185289106*^6, 5.912881349773511*^6, -2.1757628734984077*^6},
{-2.747828484828863*^6, 5.690558336857773*^6, -2.4979962842329876*^6},
{-2.9398604916265425*^6, 5.444007171936734*^6, -2.8088812088774927*^6},
{-3.120817102628292*^6, 5.174240545211864*^6, -3.106996626134463*^6},
{-3.2900688190251114*^6, 4.882371484340572*^6, -3.3909767347953306*^6},
{-3.4470271067076204*^6, 4.569609438965909*^6, -3.659517279651472*^6},
{-3.5911464657350127*^6, 4.237255947157572*^6, -3.911381737644115*^6},
{-3.7219264898800515*^6, 3.886699772425404*^6, -4.1454073254660703*^6},
{-3.838913748855308*^6, 3.5194116191050913*^6, -4.36051078512797*^6},
{-3.941703711629133*^6, 3.1369382068163534*^6, -4.555693900151598*^6},
{-4.0299424016020214*^6, 2.740895760876207*^6, -4.730048802025459*^6},
{-4.1033277601722116*^6, 2.332964213570327*^6, -4.88276234208408*^6},
{-4.161611310502545*^6, 1.9148783988965899*^6, -5.013121196621382*^6},
{-4.2045990501290625*^6, 1.4884214524508421*^6, -5.120515314283917*^6},
{-4.232152447734102*^6, 1.055416468792922*^6, -5.204441449266243*^6},
{-4.244189093159578*^6, 617718.1728228952, -5.264506007063638*^6},
{-4.240683108854282*^6, 177204.29078146172, -5.300427289634352*^6},
{-4.221665285940019*^6, -264233.275376416, -5.312037109877754*^6},
{-4.1872229447144293*^6, -704697.3604746549, -5.299281753398954*^6},
{-4.1374995141519806*^6, -1.142294580016283*^6, -5.262222274347782*^6},
{-4.0726938345780806*^6, -1.5751442727976053*^6, -5.201034121393656*^6},
{-3.99305919160347*^6, -2.001387385938983*^6, -5.116006099308205*^6},
{-3.898902021309874*^6, -2.4191954638543758*^6, -5.007538600366132*^6},
{-3.790580715995582*^6, -2.82677798667669*^6, -4.876141596698892*^6},
{-3.6685035294838985*^6, -3.222392262071123*^6, -4.722431294027948*^6},
{-3.5331269857869437*^6, -3.6043500395978983*^6, -4.547126941124894*^6},
{-3.38495368476795*^6, -3.9710252922590487*^6, -4.351046785839307*^6},
{-3.224530120942567*^6, -4.320861134821186*^6, -4.135103631117492*^6},
{-3.0524443635738404*^6, -4.65237631000368*^6, -3.9002999767911797*^6},
{-2.869323571161741*^6, -4.964171229650743*^6, -3.6477227990130223*^6},
{-2.675831509184422*^6, -5.254933450624266*^6, -3.3785380189023004*^6},
{-2.47266597994622*^6, -5.523442675686559*^6, -3.093984710259111*^6},
{-2.260556219508149*^6, -5.768575250803612*^6, -2.7953690932619013*^6},
{-2.0402601903375376*^6, -5.989308288810098*^6, -2.484058144379438*^6},
{-1.812562482087129*^6, -6.184722659297186*^6, -2.161474129686563*^6},
{-1.5782709504280884*^6, -6.3540069109489815*^6, -1.8290869403011962*^6},
{-1.3382146364246106*^6, -6.496459339867032*^6, -1.488408436132727*^6},
{-1.09324112386992*^6, -6.611490365734438*^6, -1.1409857055353953*^6},
{-844214.0030295992, -6.6986243866448775*^6, -788394.4935769018},
{-592010.3511718123, -6.757501266335058*^6, -432232.6050782612},
{-337518.2876651909, -6.787877467788063*^6, -74113.28888486349},
{-81634.38050064062, -6.789626865501911*^6, 284341.3936397412},
{174738.7033441699, -6.762741214851113*^6, 641507.2153513539},
{430694.8836309219, -6.7073303116699895*^6, 995764.4460548761},
{685327.2963669575, -6.623621747873924*^6, 1.3455047647399488*^6},
{937730.2064217109, -6.5119606485800175*^6, 1.6891370205603598*^6},
{1.1870027285212174*^6, -6.372808470193365*^6, 2.0250953517891867*^6},
{1.4322508307210566*^6, -6.206741977012635*^6, 2.3518449617491406*^6},
{1.6725902997070537*^6, -6.014451569531074*^6, 2.667889070950406*^6},
{1.9071496117010824*^6, -5.79673923703504*^6, 2.971775614990592*^6},
{2.135072821896863*^6, -5.554516080706136*^6, 3.26210390290304*^6},
{2.3555226321908706*^6, -5.288799328500353*^6, 3.5375312081894083*^6},
{2.567683407970084*^6, -5.000708882668883*^6, 3.7967792584333275*^6},
{2.770764297578095*^6, -4.691463327992783*^6, 4.038640583240233*^6},
{2.9640023777445257*^6, -4.362375396682368*^6, 4.26198467457997*^6},
{3.1466658814715073*^6, -4.01484667144937*^6, 4.465764038584348*^6},
{3.3180569071802194*^6, -3.650362849532642*^6, 4.649019290891477*^6},
{3.4775151889529326*^6, -3.2704861822006856*^6, 4.810885256095538*^6},
{3.624420608721061*^6, -2.876849673497437*^6, 4.950595277381962*^6},
{3.7581962392477*^6, -2.4711496000246434*^6, 5.067485763844841*^6},
{3.8783110912836124*^6, -2.0551378116645818*^6, 5.1610000730591435*^6},
{3.9842827120685093*^6, -1.6306135689479192*^6, 5.230691820981892*^6},
{4.0756795520481803*^6, -1.1994150493895235*^6, 5.276227573668471*^6},
{4.1521231186687145*^6, -763410.5179309527, 5.297388882545028*^6},
{4.213289867204161*^6, -324489.2594734478, 5.294073633542916*^6},
{4.258912807964785*^6, 115447.60841052426, 5.266296690001418*^6},
{4.2887828263893*^6, 554496.4788804605, 5.214189819553292*^6},
{4.302749687106662*^6, 990760.8119818781, 5.13800084677512*^6},
{4.300722704273756*^6, 1.4223591595829031*^6, 5.038092381866366*^6},
